key,연도,실제예산,시뮬예산,위험지수,Y,Y_bin,시도,시군구,diff
강원특별자치도인제군,2019,150564455.0,224124761.30707535,-0.2248745815760634,0.0,0,강원특별자치도,인제군,73560306.30707535
강원특별자치도정선군,2019,500083000.0,223479338.43919092,-0.2283745721812031,0.0005998200719676,1,강원특별자치도,정선군,-276603661.5608091
강원특별자치도철원군,2019,0.0,76246190.31152074,-1.057378720399971,0.0,0,강원특별자치도,철원군,76246190.31152074
강원특별자치도춘천시,2019,848745000.0,205278592.2255438,-0.3270733384072959,0.0127187724077746,1,강원특별자치도,춘천시,-643466407.7744563
강원특별자치도태백시,2019,0.0,128589427.22878791,-0.7429423296695131,0.0,0,강원특별자치도,태백시,128589427.22878791
강원특별자치도평창군,2019,0.0,110830220.90929578,-0.8392467191881265,0.0,0,강원특별자치도,평창군,110830220.90929578
강원특별자치도홍천군,2019,0.0,239652731.07612208,-0.1406697121596752,0.001998002662673,1,강원특별자치도,홍천군,239652731.07612208
강원특별자치도화천군,2019,0.0,149208852.91198638,-0.6311275803546558,0.0,0,강원특별자치도,화천군,149208852.91198638
강원특별자치도횡성군,2019,0.0,223692929.56647965,-0.2272163130366175,0.0001999800026662,1,강원특별자치도,횡성군,223692929.56647965
경기도가평군,2019,795456000.0,233048440.21501675,-0.1764833734314642,0.0016985566355814,1,경기도,가평군,-562407559.7849833
경기도고양시,2019,0.0,76246190.31152074,-1.1701702476110811,0.0,0,경기도,고양시,76246190.31152074
경기도과천시,2019,0.0,154843137.7318754,-0.6005740550342225,0.0,0,경기도,과천시,154843137.7318754
경기도광명시,2019,0.0,114562385.69412352,-0.8190079852762847,0.0,0,경기도,광명시,114562385.69412352
경기도광주시,2019,3473599000.0,135575137.10214594,-0.705060314414727,0.5183174895242862,1,경기도,광주시,-3338023862.897854
경기도구리시,2019,0.0,187241595.0028032,-0.4248841287678098,0.0,0,경기도,구리시,187241595.0028032
경기도군포시,2019,0.0,96094241.34573632,-0.9191567945764472,0.0,0,경기도,군포시,96094241.34573632
경기도김포시,2019,0.0,76246190.31152074,-1.4402553776194356,0.0,0,경기도,김포시,76246190.31152074
경기도남양주시,2019,1991500000.0,204325777.46688947,-0.3322402496985856,0.095946341047209,1,경기도,남양주시,-1787174222.5331106
경기도동두천시,2019,301286000.0,142736543.02204964,-0.6662255369588035,0.0013990209137073,1,경기도,동두천시,-158549456.97795036
경기도부천시,2019,0.0,114716055.52327771,-0.807763695043537,0.0,0,경기도,부천시,114716055.52327771
경기도성남시,2019,224595000.0,154090044.62458697,-0.6046579183918143,0.062411260121397,1,경기도,성남시,-70504955.37541303
경기도수원시,2019,0.0,152559327.02096555,-0.6129586735995712,0.0,0,경기도,수원시,152559327.02096555
경기도시흥시,2019,0.0,140805455.3481727,-0.6766974136966462,0.0,0,경기도,시흥시,140805455.3481727
경기도안산시,2019,0.0,174594090.7916223,-0.4934688475936168,0.0,0,경기도,안산시,174594090.7916223
경기도안성시,2019,364225497.0,109556821.92247704,-0.8461520903985843,0.0058826631581554,1,경기도,안성시,-254668675.07752296
경기도양주시,2019,81609000.0,178335334.47245938,-0.4731808807643826,0.000899595242836,1,경기도,양주시,96726334.47245938
경기도양평군,2019,875437000.0,192316061.61694342,-0.3973663782210987,0.0420052941450301,1,경기도,양평군,-683120938.3830566
경기도여주시,2019,176941000.0,133490954.47192217,-0.7163623924602248,0.0001999800026662,1,경기도,여주시,-43450045.528077826
경기도오산시,2019,0.0,145228104.35828212,-0.6527143310458068,0.0,0,경기도,오산시,145228104.35828212
경기도용인시,2019,968669000.0,157380552.8282892,-0.5868141939560143,0.0211742352314064,1,경기도,용인시,-811288447.1717107
경기도의왕시,2019,29202000.0,124331966.35460494,-0.7660296322781637,0.000899595242836,1,경기도,의왕시,95129966.35460494
경기도의정부시,2019,0.0,175688781.99223903,-0.4875325706063351,0.0,0,경기도,의정부시,175688781.99223903
경기도이천시,2019,133177000.0,76246190.31152074,-1.0154184023561814,0.0009995003330835,1,경기도,이천시,-56930809.68847926
경기도평택시,2019,193531000.0,98694784.86217393,-0.9050546015357464,0.0001999800026662,1,경기도,평택시,-94836215.13782607
