연도,시도,시군구,log_피해밀도_본per_ha,Y_bin,노출도_점수,기후위험도_점수,지자체대응역량_점수,인위적확산_점수,구조적취약성지수,위험지수
2019,경상북도,안동시,0.192601866201511,1,2.0704398289393096,-0.7972890864652362,-0.29683371154282034,-0.1909408254940377,0.19634405135930383,0.36073663899334524
2020,경상북도,안동시,0.1710920748424058,1,2.218912085976935,-1.0861524832950042,-0.17764661549772903,-0.22649862393921522,0.1821535908112466,0.30208699291423846
2021,경상북도,안동시,0.1649210421137872,1,2.218912085976935,-0.9898532209944156,-0.013808278457832696,-0.22957067241868212,0.2464199785265011,0.33316273085461234
2022,경상북도,안동시,0.1516045841318941,1,2.218912085976935,-0.9157471061378084,0.7039822447798998,-0.29366825362628884,0.42836974274818435,0.3364989087376125
2023,경상북도,안동시,0.3886579897917831,1,2.218912085976935,-0.5987318426519657,0.13435052525660846,-0.2722564673906706,0.37056857529772674,0.4493079253114329
2016,경상북도,영덕군,0.047646653467353,1,1.6913399488806997,-0.6413045221086011,0.3848114650468531,0.6047963123255964,0.5099108010361371,0.5516105796992317
2017,경상북도,영덕군,0.0150856374180408,1,1.6963334304737967,-0.3518481579775022,-0.07100956577142614,0.6161251383333539,0.47240021126455556,0.6535368036098829
2018,경상북도,영덕군,0.0134096869099176,1,1.6996042106994225,-0.2756921635157358,-0.2152551431787793,0.3978503947175215,0.4016268246806073,0.6072541473004027
2019,경상북도,영덕군,0.0122249696225689,1,1.6996042106994225,0.5768439765156981,-0.22154106178606675,0.39249883225012094,0.6118514894197937,0.8896490064884138
2020,경상북도,영덕군,0.0056838164682976,1,1.8913367851000795,-0.9412945306506225,-0.13697128008129078,0.44496802343608743,0.3145097494510634,0.4650034259618481
2021,경상북도,영덕군,0.017348638334613,1,1.8913367851000795,-0.4955164678063481,-0.15432025771607705,0.4245924176695737,0.41652311931180697,0.6068042449877683
2022,경상북도,영덕군,0.0281986543586787,1,1.8913367851000795,-0.8227014835149484,0.7039822447798998,0.44401405406015804,0.5541579001062973,0.504216451881763
2023,경상북도,영덕군,0.0362354925820954,1,1.8913367851000795,-1.2915678409733244,0.7311373456691727,0.46538190001006663,0.44907204745149865,0.3550502813789406
2016,경상북도,영양군,0.0,0,1.8817665568847137,-0.6413045221086011,-0.7512362032516773,-0.03432343924673151,0.11372559806942595,0.4020461985097937
2017,경상북도,영양군,0.0,0,1.8868602603641862,-0.3518481579775022,-0.15070355224213614,-0.017057529576284175,0.34181275514206594,0.5059848576034666
2018,경상북도,영양군,0.0,0,1.8898173988422486,-0.2756921635157358,0.6578713880181923,-0.1392217960589902,0.5331937068214287,0.4916344797558409
2019,경상북도,영양군,0.0,0,1.8898173988422486,0.5768439765156981,0.662093116707863,-0.18544750422211093,0.7358267469609246,0.7604046237119452
2020,경상북도,영양군,0.0,0,1.9108002571418685,-0.9412945306506225,0.6912197662605591,-0.13224866108059458,0.38211920791780263,0.27908568847021714
2021,경상북도,영양군,0.0,0,1.9108002571418685,-0.4955164678063481,0.6619774963281565,-0.11520035408198369,0.49051523289542326,0.43336114508451223
2022,경상북도,영양군,0.0,0,1.9108002571418685,-0.8227014835149484,0.7039822447798998,-0.09542821215182223,0.4241632015637494,0.330890187158366
2023,경상북도,영양군,0.0,0,1.9108002571418685,-1.2915678409733244,0.7311373456691727,-0.07465555303139759,0.3189285522015798,0.18152562104571549
2016,경상북도,영주시,0.0106431600984798,1,0.9230074137049301,-0.7136120341448753,0.3848114650468531,-0.9611614530796222,-0.09173865211817855,-0.2505886911731891
2017,경상북도,영주시,0.00129915573162,1,0.927596520421816,-0.5792363723603886,-0.15386448419626983,-0.9560040216036279,-0.1903770894346176,-0.20254795784740018
2018,경상북도,영주시,0.000499875041651,1,0.9321327811470851,-0.3706030777784495,0.6578713880181923,-0.964536987448322,0.06371602598462647,-0.13433576135989544
2019,경상북도,영주시,0.0003999200213269,1,0.9321327811470851,-1.0029738336670957,0.662093116707863,-0.9547952061335429,-0.09088578548642262,-0.3418787528845178
2020,경상북도,영주시,0.0002999550089979,1,0.9732498753024398,-1.0982258595512429,0.6912197662605591,-0.7253313008635719,-0.039771879712953956,-0.283435761704125
2021,경상북도,영주시,0.0030952049073024,1,0.9732498753024398,-0.6487368624416644,0.6619774963281565,-0.7014538119438861,0.07125917431126144,-0.12564693302770358
2022,경상북도,영주시,0.0120273802127184,1,0.9732498753024398,-0.8973252119306683,0.7039822447798998,-0.732118815168382,0.011947023245822336,-0.21873138393220348
2023,경상북도,영주시,0.0080673710777587,1,0.9732498753024398,-0.12984403489000906,0.7311373456691727,-0.7251253006975291,0.21235447134601854,0.03942684657163387
2016,경상북도,영천시,0.0117309228756986,1,1.166390091388252,-0.18918087399352615,-2.4446207800213764,0.11364116315424266,-0.338442599868102,0.3636167935163228
2017,경상북도,영천시,0.000499875041651,1,1.171107290871817,-0.5663951879739831,-2.076545355085633,0.08595039282456989,-0.3464707148408073,0.2302208319074679
2018,경상북도,영천시,0.001199280575482,1,1.1752426886654013,-0.6089424523886539,-2.2058789745661262,0.052019783749974915,-0.39688973863485094,0.20610667334224078
2019,경상북도,영천시,0.0021975835434872,1,1.1752426886654013,-0.04398017011829733,-2.0557775979502715,0.07044816403565267,-0.21351672884187872,0.40057022752758553
2020,경상북도,영천시,0.0028958031120255,1,1.2141261743619118,-0.9836558728312894,-1.9091514156327485,0.12411767017220118,-0.38864086098248124,0.11819599056760788
2021,경상북도,영천시,0.004191204618468,1,1.2141261743619118,-0.6593403273939846,-2.1150382004209223,0.1436398422502676,-0.35415312780068187,0.2328085630727316
2022,경상북도,영천시,0.0084640784121294,1,1.2141261743619118,-0.9021442060356185,-2.0385547749445276,0.11211738168177307,-0.40361385623411533,0.1413664500026888
