연도,시도,시군구,log_피해밀도_본per_ha,Y_bin,노출도_점수,기후위험도_점수,지자체대응역량_점수,인위적확산_점수,취약성지수_동일가중,취약성지수_실증가중
2022,경상남도,합천군,0.0001999800026662,1,2.067774636862848,-0.12084742098014806,-0.03288878379898222,0.7327314263691409,0.6616924646132146,0.9451569622223208
2023,경상남도,합천군,0.001598721363697,1,2.064559309746093,0.5097135053229391,-0.05238306701143061,0.6599692482756454,0.7954647490833118,0.9100520812229993
2016,경상북도,경산시,0.0014988761237358,1,0.45367707697750886,0.5071134741201724,-0.7469972427469747,-0.23654056782736316,-0.005686814869164128,-0.15013955956770314
2017,경상북도,경산시,0.0002999550089979,1,0.4579773917982449,0.2985252384893873,-0.1701502943455879,-0.20252673826251402,0.09595639941988257,0.00943900943703653
2018,경상북도,경산시,0.0002999550089979,1,0.4632467164372063,0.0035994705572080024,-0.2088023292277047,-0.17509784770917364,0.020736502514383984,0.01215810456935866
2019,경상북도,경산시,0.0003999200213269,1,0.4632467164372063,0.41098931658667603,-0.17530543813706567,-0.20201863611057075,0.12422798969406147,0.010479524727133746
2020,경상북도,경산시,0.0003999200213269,1,0.4919828084817183,-0.3183966706608567,-0.06656654803322529,-0.15801626699093343,-0.012749169300824273,0.06258855419432367
2021,경상북도,경산시,0.0005998200719676,1,0.4919828084817183,-0.04906039101022097,0.6619774963281565,-0.23021839155616547,0.21867038056087207,0.2141257506410254
2022,경상북도,경산시,0.0006997551142733,1,0.4919828084817183,-0.5495183587096508,0.7039822447798998,-0.2070417061835252,0.10985124709211054,0.232620174349594
2023,경상북도,경산시,0.001199280575482,1,0.49615555333603323,-0.2357653894421569,0.7253507311642879,-0.24673921072760413,0.18475042108264006,0.22314457870973975
2016,경상북도,경주시,0.5586438872214662,1,0.8730015282787488,-0.3284949969027334,-0.8356992541961512,0.7671225237453138,0.11898245023129447,0.3939029304307041
2017,경상북도,경주시,0.3733550541899307,1,0.8775347406093077,-0.9069754993958814,-0.3277816492284087,0.5555152614053878,0.04957321334760134,0.42654592023170324
2018,경상북도,경주시,0.3003267899848596,1,0.8821377966480175,-0.05854685159848083,-0.37303800445977964,0.49552127475289065,0.23651855383566192,0.3939714917089575
2019,경상북도,경주시,0.265743164933027,1,0.8821377966480175,0.24182222682153975,-0.3820116150210229,0.3793256922423618,0.28031852517272404,0.3418972384061193
2020,경상북도,경주시,0.2228235001032844,1,0.9080725760301801,-0.48763803311598414,-0.11061782151127347,0.3724325970122215,0.17056232960378598,0.41140650502879195
2021,경상북도,경주시,0.1521200480608332,1,0.9080725760301801,-0.2903392577304614,-0.24895638975773782,0.3905495940189602,0.18983163064023528,0.3856698752733212
2022,경상북도,경주시,0.1530643757268367,1,0.9080725760301801,-0.3742257540482269,-0.07404879159779165,0.36732950039149886,0.20678188269391512,0.4188030189753203
2023,경상북도,경주시,0.4480774989120402,1,0.9102944914070812,-0.8428078428214576,-0.01140712213214698,0.2858596125564409,0.08548478475247936,0.39720281077521924
2016,경상북도,고령군,0.4520942087021676,1,1.4739728578537739,0.8050217858097916,0.38376925236808673,0.296759498897336,0.7398808487322471,0.6801716605085029
2017,경상북도,고령군,0.0589290675292874,1,1.4788398564104845,0.4546140733793067,-0.13301934232661686,0.3302341298579837,0.5326671793302895,0.5656504595567677
2018,경상북도,고령군,0.1108255550888846,1,1.4824880234001423,0.2298486609984084,0.0006347534826572909,0.35516416757423896,0.5170339013638618,0.6101608966808715
2019,경상북도,고령군,0.0869113719892964,1,1.4824880234001423,0.9566105432969869,0.6638779072792429,0.3056997427625323,0.852169054184726,0.7574043926317604
2020,경상북도,고령군,0.167377109408132,1,1.5728282534661182,0.3812962111370957,0.6912197662605591,0.3589117422122958,0.7510639932690173,0.8127078721727652
2021,경상북도,고령군,0.2311117209633866,1,1.5728282534661182,0.37925051324035436,0.6619774963281565,0.3746175897266302,0.7471684631903148,0.8123031264795872
2022,경상북도,고령군,0.2379927541644155,1,1.5728282534661182,-0.12084742098014806,0.7039822447798998,0.39672382688456725,0.6381717260376093,0.8303278513465489
2023,경상북도,고령군,0.3589323939799476,1,1.5719334736681754,0.5097135053229391,0.7253507311642879,0.43267842783380567,0.8099190344973021,0.8540121984948481
2016,경상북도,구미시,0.9472078345088766,1,0.5803991294730259,0.7697571600256722,0.38376925236808673,-0.39792498346839095,0.33400013959959846,0.10134858511114306
