연도,시도,시군구,log_피해밀도_본per_ha,Y_bin,노출도_점수,기후위험도_점수,지자체대응역량_점수,인위적확산_점수,구조적취약성지수,위험지수,연속발생연수_L1,집단발생여부_L1,log_인접시군_피해밀도_본per_ha_L1,key,구조적취약성지수_gm,연속발생연수_L1_gm,집단발생여부_L1_gm,log_인접시군_피해밀도_본per_ha_L1_gm,Model2_예측확률,_decile
2019,경기도,용인시,0.0211742352314064,1,-0.9324431475645306,-0.006572139600385,-0.5364141306465349,-0.4195395644686576,-0.473742245570027,-0.4528516172111911,3.0,1.0,0.0884686479876081,경기도용인시,-0.4147651386279382,4.0,0.8571428571428571,0.08447906463913978,0.9994944213696126,9
2020,경기도,용인시,0.0025966258472659,1,-0.9647588565808988,0.2291777714651183,-0.4757467193512009,-0.4320478267851093,-0.4108439078130226,-0.3892096373002966,4.0,1.0,0.0898407039997894,경기도용인시,-0.4147651386279382,4.0,0.8571428571428571,0.08447906463913978,0.9994451268901116,9
2021,경기도,용인시,0.0054849302305696,1,-0.9647588565808988,0.0033923191681461,-0.3934684445069584,-0.4133272822612858,-0.4420405660452492,-0.4582312732246795,5.0,1.0,0.0803811119468124,경기도용인시,-0.4147651386279382,4.0,0.8571428571428571,0.08447906463913978,0.999489264280534,9
2022,경기도,용인시,0.0029955089797984,1,-0.9647588565808988,0.5027497913483914,-0.3703953166901793,-0.3897345553558918,-0.3055347343196446,-0.2839145401961331,6.0,1.0,0.0230326991105726,경기도용인시,-0.4147651386279382,4.0,0.8571428571428571,0.08447906463913978,0.9994463538993639,9
2023,경기도,용인시,0.0247901688072187,1,-0.9647588565808988,0.0663103241877555,-0.3805859456142752,-0.65351905789119,-0.4831383839746521,-0.5173225300947778,7.0,0.0,0.029267497680568,경기도용인시,-0.4147651386279382,4.0,0.8571428571428571,0.08447906463913978,0.9977102971274387,8
2017,경기도,의왕시,0.00129915573162,1,-1.1089714085938231,0.6386258965657722,-0.4268308106194964,-1.0128733682369948,-0.4775124227211356,-0.4944062934216819,1.0,0.0,0.025472795973031,경기도의왕시,-0.6003143512631623,0.7142857142857143,0.0,0.01281407659503137,0.10802572757865354,4
2018,경기도,의왕시,0.0,0,-1.101213726196711,-0.0701306999415991,-0.4641633907887347,-0.9862741850043012,-0.6554455004828365,-0.7192062037142039,2.0,0.0,0.0198026272961797,경기도의왕시,-0.6003143512631623,0.7142857142857143,0.0,0.01281407659503137,0.1418713680658208,5
2019,경기도,의왕시,0.000899595242836,1,-1.101213726196711,-0.1478030349212727,-0.4781189845796959,-0.900597895907049,-0.6569334104011821,-0.7165382190083442,0.0,0.0,0.0169554406494134,경기도의왕시,-0.6003143512631623,0.7142857142857143,0.0,0.01281407659503137,0.1401541032953127,5
2020,경기도,의왕시,0.0,0,-1.0825529715409663,0.0029975817513372,-0.4864473809256553,-0.8599437051002228,-0.6064866189538769,-0.6464996982966174,1.0,0.0,0.0122249696225689,경기도의왕시,-0.6003143512631623,0.7142857142857143,0.0,0.01281407659503137,0.1331515562379097,5
2021,경기도,의왕시,0.0,0,-1.0825529715409663,-0.1452854663273057,-0.5375089424318966,-0.8440578100457936,-0.6523512975864907,-0.690632082638022,0.0,0.0,0.0095542128048116,경기도의왕시,-0.6003143512631623,0.7142857142857143,0.0,0.01281407659503137,0.14125864255942222,5
2022,경기도,의왕시,0.0001999800026662,1,-1.0825529715409663,0.5466517325462844,-0.4767311006487013,-0.8218594435186923,-0.4586229457905189,-0.4525868941711248,0.0,0.0,0.0009995003330835,경기도의왕시,-0.6003143512631623,0.7142857142857143,0.0,0.01281407659503137,0.10925631415802663,4
2023,경기도,의왕시,0.0006997551142733,1,-1.0825529715409663,-0.4205613347807108,-0.4769162329490009,-0.7993625123537038,-0.6948482629060955,-0.7674922728917938,1.0,0.0,0.0046889894861315,경기도의왕시,-0.6003143512631623,0.7142857142857143,0.0,0.01281407659503137,0.1526494040003607,5
