연도,시도,시군구,피해본수_당해연도,전년도_피해본수,행정구역면적_ha,피해밀도_본per ha,최근3년_피해증가율(%),연속발생연수,인접시군_피해밀도_본per ha,인접시군_산정방식,소나무류_면적_ha,산림면적_ha,소나무류_면적비율(%),소나무류_면적_산정방식,최근감염목과의_거리_km,집단발생여부,데이터유형
2020,경상북도,울진군,4099,4502,98900.0,0.0415,25.24,5,0.0504,SGIS실제인접,39045.8,77753.0,50.22,보간(2019/2025 실측 anchor),127.41,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,경상북도,울진군,3513,4099,98900.0,0.0355,3.65,6,0.0431,SGIS실제인접,40062.8,79134.9,50.63,보간(2019/2025 실측 anchor),127.41,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,경상북도,울진군,3060,3513,98900.0,0.0309,-12.05,7,0.0376,SGIS실제인접,41106.3,80541.4,51.04,보간(2019/2025 실측 anchor),127.41,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,경상북도,울진군,2790,3060,98900.0,0.0282,-12.01,8,0.0341,SGIS실제인접,42176.9,81972.9,51.45,보간(2019/2025 실측 anchor),127.41,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,경상북도,울진군,2487,2790,98900.0,0.0251,-10.86,9,0.0304,SGIS실제인접,43275.4,83429.9,51.87,보간(2019/2025 실측 anchor),127.41,0,추정(최근추세 외삽)
2025,경상북도,울진군,2217,2487,98900.0,0.0224,-10.18,10,0.027,SGIS실제인접,44402.5,84912.7,52.29,실측(임상도overlay),127.41,0,추정(최근추세 외삽)
2016,경상북도,포항시,4270,2877,113008.0,0.0378,,4,0.0376,SGIS실제인접,20908.0,74509.7,28.06,외삽(2019/2025 실측 anchor),106.38,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,경상북도,포항시,6249,4270,113008.0,0.0553,,5,0.055,SGIS실제인접,20994.4,74710.0,28.1,외삽(2019/2025 실측 anchor),21.05,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,경상북도,포항시,9403,6249,113008.0,0.0832,,6,0.0828,SGIS실제인접,21081.1,74910.9,28.14,외삽(2019/2025 실측 anchor),21.05,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,경상북도,포항시,12618,9403,113008.0,0.1117,43.67,7,0.1111,SGIS실제인접,21168.1,75112.3,28.18,실측(임상도overlay),21.05,0,공식통계 기반(2023 스냅샷 비중 고정)
