"연도","시군구코드","시도","시군구","시군구_전체명","메인지수A_예산기반_pooled","메인지수A_예산기반_연도별표준화","확장지수B_예산법인_pooled","확장지수B_예산법인_연도별표준화","핵심_소나무림면적당_총대응예산_log","핵심_소나무림면적당_예찰예산_log","확장_소나무림1만ha당_방제법인수_log","원자료_총대응예산_원","원자료_예찰예산_원","소나무림면적_ha","활동방제법인수","예산관측여부","예산결측사유","예산기반지수_사용가능여부","확장지수_사용가능여부","법인자료_연도완전여부","법인자료_최신성주의플래그"
"2016","41150","경기도","의정부시","경기도 의정부시","-0.1795948877","0.2902741331","-0.4193868221","-0.1280902409","13.30300748999024","0.0","0.0","171404000.0","0.0","286.15341427612697","0.0","1","observed","1","1","1","0"
"2016","41171","경기도","안양시 만안구","경기도 안양시 만안구","","","","","","","0.0","","","265.8049176907011","0.0","0","city_district_granularity","0","0","1","0"
"2016","41173","경기도","안양시 동안구","경기도 안양시 동안구","","","","","","","0.0","","","127.51675699944526","0.0","0","city_district_granularity","0","0","1","0"
"2016","41190","경기도","부천시","경기도 부천시","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","35.10405032799517","0.0","1","observed","1","1","1","0"
"2016","41210","경기도","광명시","경기도 광명시","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","0.0","42.54530963524327","0.0","1","observed","1","1","1","0"
"2016","41220","경기도","평택시","경기도 평택시","-0.3092460686","0.16555892","-0.5055286142","-0.2112337163","12.356417612156674","0.0","0.0","158024000.0","0.0","679.8309525670219","0.0","1","observed","1","1","1","0"
"2016","41250","경기도","동두천시","경기도 동두천시","-0.1113553115","0.355915751","-0.3740476332","-0.0843291622","13.801228112855368","0.0","0.0","612953000.0","0.0","621.7709145937123","0.0","1","observed","1","1","1","0"
"2016","41271","경기도","안산시 상록구","경기도 안산시 상록구","","","","","","","5.005618997732435","","","67.45388059852978","1.0","0","city_district_granularity","0","0","1","0"
"2016","41273","경기도","안산시 단원구","경기도 안산시 단원구","","","","","","","3.574586113436977","","","865.0556360091556","3.0","0","city_district_granularity","0","0","1","0"
"2016","41281","경기도","고양시 덕양구","경기도 고양시 덕양구","","","","","","","0.0","","","355.8002227264187","0.0","0","city_district_granularity","0","0","1","0"
"2016","41285","경기도","고양시 일산동구","경기도 고양시 일산동구","","","","","","","0.0","","","37.31277505696144","0.0","0","city_district_granularity","0","0","1","0"
"2016","41287","경기도","고양시 일산서구","경기도 고양시 일산서구","","","","","","","0.0","","","3.388930813065514","0.0","0","city_district_granularity","0","0","1","0"
"2016","41290","경기도","과천시","경기도 과천시","-0.1519243564","0.3168912158","0.604066486","0.930309326","13.505031449162722","0.0","3.8237175555317333","163732000.0","0.0","223.34360555692547","1.0","1","observed","1","1","1","0"
"2016","41310","경기도","구리시","경기도 구리시","-0.2337573504","0.2381736969","-0.4553730088","-0.162823865","12.907564590254138","0.0","0.0","64998000.0","0.0","161.14505903434895","0.0","1","observed","1","1","1","0"
"2016","41360","경기도","남양주시","경기도 남양주시","-0.264784232","0.2083280439","0.0287823144","0.3399212266","12.68103574639855","0.0","1.920364028873773","1104467000.0","0.0","3434.395016144184","2.0","1","observed","1","1","1","0"
"2016","41370","경기도","오산시","경기도 오산시","-0.2366033902","0.235436009","-0.4572639517","-0.1646489903","12.886785508085724","0.0","0.0","73619000.0","0.0","186.35076400480355","0.0","1","observed","1","1","1","0"
"2016","41390","경기도","시흥시","경기도 시흥시","-0.040801692","0.4237833141","-0.3271709663","-0.0390841202","14.31634368395799","0.0","0.0","233215000.0","0.0","141.33433515643677","0.0","1","observed","1","1","1","0"
"2016","41410","경기도","군포시","경기도 군포시","-0.0162745989","0.4473766329","-0.3108748729","-0.023355241","14.495417240402322","0.0","0.0","105643000.0","0.0","53.525560683214096","0.0","1","observed","1","1","1","0"
"2016","41430","경기도","의왕시","경기도 의왕시","-0.0874384212","0.3789220982","-0.3581569658","-0.0689915975","13.975846548088606","0.0","0.0","164376000.0","0.0","140.02505183745703","0.0","1","observed","1","1","1","0"
"2016","41450","경기도","하남시","경기도 하남시","-0.0575686225","0.4076547197","-0.338311115","-0.0498365165","14.193927470144553","0.0","0.0","251572000.0","0.0","172.3130711920396","0.0","1","observed","1","1","1","0"
"2016","41461","경기도","용인시 처인구","경기도 용인시 처인구","","","","","","","3.0090012309611636","","","2076.0727432002136","4.0","0","city_district_granularity","0","0","1","0"
"2016","41463","경기도","용인시 기흥구","경기도 용인시 기흥구","","","","","","","3.442809018477251","","","330.3089577168603","1.0","0","city_district_granularity","0","0","1","0"
"2016","41465","경기도","용인시 수지구","경기도 용인시 수지구","","","","","","","0.0","","","79.2663751414894","0.0","0","city_district_granularity","0","0","1","0"
"2016","41480","경기도","파주시","경기도 파주시","-0.2395897463","0.232563347","-0.4592481223","-0.1665640983","12.864981970538249","0.0","0.0","148136000.0","0.0","383.2401994607623","0.0","1","observed","1","1","1","0"
"2016","41500","경기도","이천시","경기도 이천시","-0.2684450728","0.2048065756","0.5312186385","0.8603179452","12.654307761589658","0.0","3.84110346687409","206097000.0","0.0","658.2290176450433","3.0","1","observed","1","1","1","0"
"2016","41550","경기도","안성시","경기도 안성시","-0.4040239398","0.0743893501","0.0274686901","0.3450567159","11.664439545175949","0.0","2.2673242325901652","268927000.0","0.0","2311.1940487582983","2.0","1","observed","1","1","1","0"
"2016","41570","경기도","김포시","경기도 김포시","-0.0122080154","0.451288397","-0.3081729862","-0.0207473983","14.525107574184782","0.0","0.0","144018000.0","0.0","70.8341881331828","0.0","1","observed","1","1","1","0"
"2016","41590","경기도","화성시","경기도 화성시","-0.5794725514","-0.0943797335","0.0267675638","0.3525155591","10.383480291772631","0.0","2.7081403049890724","69251000.0","0.0","2142.6502823392866","3.0","1","observed","1","1","1","0"
"2016","41610","경기도","광주시","경기도 광주시","-0.1717820341","0.2977895424","0.3261791141","0.6435092523","13.360049531975331","0.0","2.8167078386844038","1210087000.0","0.0","1908.1894503644528","3.0","1","observed","1","1","1","0"
"2016","41630","경기도","양주시","경기도 양주시","-0.3893823079","0.0884735584","-0.5587720881","-0.2626239573","11.771338845487161","0.0","0.0","297065000.0","0.0","2294.179185953983","0.0","1","observed","1","1","1","0"
"2016","41650","경기도","포천시","경기도 포천시","-0.4489832825","0.0311416606","-0.3875394596","-0.082548121","11.336189092828421","0.0","0.8020973174200708","681175000.0","0.0","8128.670398484328","1.0","1","observed","1","1","1","0"
"2016","41670","경기도","여주시","경기도 여주시","-2.0016623643","-1.4624251639","-1.1677824042","-0.8179833871","0.0","0.0","1.758439110009327","0.0","0.0","2081.870864151668","1.0","1","observed","1","1","1","0"
"2016","41800","경기도","연천군","경기도 연천군","-0.1372105483","0.3310448525","-0.3912261611","-0.1009097612","13.612457711944083","0.0","0.0","308711000.0","0.0","378.21379665028775","0.0","1","observed","1","1","1","0"
"2016","41820","경기도","가평군","경기도 가평군","-0.639354017","-0.1519814436","-0.4296396065","-0.1172579742","9.946282660054166","0.0","1.1231323643669833","301862435.0","0.0","14461.528634104574","3.0","1","observed","1","1","1","0"
"2016","41830","경기도","양평군","경기도 양평군","-0.5363331874","-0.0528827341","-0.2959075735","0.0164030791","10.698442986350555","0.0","1.371500143409458","451703000.0","0.0","10199.71478015457","3.0","1","observed","1","1","1","0"
"2016","43111","충청북도","청주시 상당구","충청북도 청주시 상당구","","","","","","","1.8475873797243378","","","3742.168912140501","2.0","0","city_district_granularity","0","0","1","0"
"2016","43112","충청북도","청주시 서원구","충청북도 청주시 서원구","","","","","","","4.815619103817206","","","245.0515906553315","3.0","0","city_district_granularity","0","0","1","0"
"2016","43113","충청북도","청주시 흥덕구","충청북도 청주시 흥덕구","","","","","","","5.568352028466287","","","229.8833210329101","6.0","0","city_district_granularity","0","0","1","0"
"2016","43114","충청북도","청주시 청원구","충청북도 청주시 청원구","","","","","","","4.06658635161927","","","523.0361645621886","3.0","0","city_district_granularity","0","0","1","0"
"2016","43130","충청북도","충주시","충청북도 충주시","0.1862673133","1.475605813","0.4984966546","1.3634064425","10.585207488660595","7.370654179871048","2.57672339293489","325363000.0","13063000.0","8227.766231707934","10.0","1","observed","1","1","1","0"
"2016","43150","충청북도","제천시","충청북도 제천시","0.1208689128","1.3486868448","0.3822808586","1.203254755","10.521638726255885","6.804540427586918","2.2991674262882356","538057000.0","13063000.0","14499.410632856823","13.0","1","observed","1","1","1","0"
"2016","43720","충청북도","보은군","충청북도 보은군","0.0423165325","1.3410868986","0.1980249062","1.0616579569","9.508664057815288","7.40560159424259","1.7975094560166907","107059000.0","13063000.0","7945.021565993795","4.0","1","observed","1","1","1","0"
"2016","43730","충청북도","옥천군","충청북도 옥천군","0.0898681249","1.6979678338","-0.2437900345","0.8103722262","7.843927309545411","10.157350802920728","0.0","8823000.0","89223000.0","3461.084989142923","0.0","1","observed","1","1","1","0"
"2016","43740","충청북도","영동군","충청북도 영동군","0.1068489415","1.605500872","0.282194261","1.2813163313","8.671443740572178","9.19510168150784","1.9569110241925562","57586000.0","97223000.0","9872.59214026753","6.0","1","observed","1","1","1","0"
