"연도","시군구코드","시도","시군구","시군구_전체명","메인지수A_예산기반_pooled","메인지수A_예산기반_연도별표준화","확장지수B_예산법인_pooled","확장지수B_예산법인_연도별표준화","핵심_소나무림면적당_총대응예산_log","핵심_소나무림면적당_예찰예산_log","확장_소나무림1만ha당_방제법인수_log","보조_소나무림면적당_이동단속예산_log","보조_예찰예산비중","보조_이동단속예산비중","보조_반출금지구역_지정여부","보조_반출금지구역_면적비율","원자료_총대응예산_원","원자료_예찰예산_원","원자료_이동단속예산_원","원자료_포함대응예산_원","원자료_직접대응예산_원","원자료_광의대응예산_원","소나무림면적_ha","활동방제법인수","소나무림1만ha당_방제법인수","반출금지구역_면적_ha","예산관측여부","예산결측사유","소나무림면적_관측여부","소나무림면적_양수여부","예산기반지수_사용가능여부","확장지수_사용가능여부","분석단위_매칭여부","법인자료_관측여부","법인자료_연도완전여부","법인자료_최신성주의플래그","법인자료_기준일","법인자료_지역매칭여부","반출금지구역_이력완전여부","반출금지구역_날짜품질플래그","반출금지구역_지역매칭여부"
"2016","28110","인천광역시","중구","인천광역시 중구","-0.5204602578","-0.037614105","-0.6458618426","-0.3466823996","10.814332053833517","0.0","0.0","0.0","0.0","0.0","","","49100000.0","0.0","0.0","49100000.0","0.0","49100000.0","987.3826441590792","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","28140","인천광역시","동구","인천광역시 동구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","","","","","0.0","0.0","0.0","0.0","0.0","0.0","3.958094174333669","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","28177","인천광역시","미추홀구","인천광역시 미추홀구","","","","","","","0.0","","","","","","","","","","","","18.833217834767712","0.0","0.0","","0","administrative_history","1","1","0","0","0","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","28185","인천광역시","연수구","인천광역시 연수구","-0.1181193149","0.349409261","-0.3785417178","-0.0886668223","13.751843779822229","0.0","0.0","0.0","0.0","0.0","","","44213000.0","0.0","0.0","44213000.0","0.0","44213000.0","47.1194896000123","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","28200","인천광역시","남동구","인천광역시 남동구","-0.1189056061","0.3486529048","-0.379064139","-0.0891710597","13.746103027749328","0.0","0.0","0.0","0.0","0.0","","","53873000.0","0.0","0.0","53873000.0","0.0","53873000.0","57.74507283302972","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","28237","인천광역시","부평구","인천광역시 부평구","-0.2432433246","0.2290488645","-0.4616756033","-0.1689070866","12.838307008759289","0.0","0.0","0.0","0.0","0.0","","","12897000.0","0.0","0.0","12897000.0","0.0","12897000.0","34.26762162527105","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","28245","인천광역시","계양구","인천광역시 계양구","-0.1058986638","0.361164658","-0.3704221713","-0.0808298909","13.841067376052298","0.0","0.0","0.0","0.0","0.0","","","42152000.0","0.0","0.0","42152000.0","0.0","42152000.0","41.088418340379626","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","28260","인천광역시","서구","인천광역시 서구","-0.171053411","0.2984904261","0.801689551","1.1358219553","13.365369246768221","0.0","4.6239142146816326","0.0","0.0","0.0","","","63190000.0","0.0","0.0","63190000.0","0.0","63190000.0","99.1158076294085","1.0","100.89208007455025","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","28710","인천광역시","강화군","인천광역시 강화군","","","","","","","","","0.0","0.0","","","87871000.0","0.0","0.0","87871000.0","0.0","87871000.0","0.0","0.0","","","1","observed","1","0","0","0","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","28720","인천광역시","옹진군","인천광역시 옹진군","-0.378052441","0.0993720844","-0.5512443893","-0.2553582733","11.85405878132491","0.0","0.0","0.0","0.0","0.0","","","162241000.0","0.0","0.0","162241000.0","0.0","162241000.0","1153.4834967443164","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
