연도,시도,시군구,국비지원액_원,총사업비_원,국비비율(%),매칭사업수,매칭사업명,예찰진단_국비지원액_원,예찰진단_총사업비_원,예찰진단_국비비율(%),예찰진단_매칭사업수,예찰진단_사업명목록,국비지원액_최종_원,총사업비_최종_원,국비비율_최종(%),매칭사업수_최종,산림면적_ha,산림면적당_국비지원액(원per ha),산림면적당_국비지원액_최종(원per ha),시도비_원(참고),시군구비_원(참고),기타재원_원(참고),출처,비고
2022,경상남도,거제시,817768400.0,1168481000.0,69.99,2,소나무재선충병 긴급방제; 소나무재선충병 방제,140794000.0,281588000.0,50.0,2,산림병해충 예찰방제단(경상/지원); 산림병해충 예찰방제단(자본),958562400.0,1450069000.0,66.1,4,26837.2,30471.45,35717.7,105214580.0,245498020.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2023,경상남도,거제시,1171160000.0,1656816000.0,70.69,1,소나무재선충병 방제,174764000.0,349528000.0,50.0,2,산림병해충 예찰방제단(경상/지원); 산림병해충 예찰방제단(자본),1345924000.0,2006344000.0,67.08,3,26794.8,43708.48,50230.8,144936000.0,340720000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2016,경상남도,김해시,2252549000.0,4065326000.0,55.41,2,소나무재선충병 긴급방제; 소나무재선충병방제,0.0,0.0,,0,,2252549000.0,4065326000.0,55.41,2,20805.9,108264.92,108264.9,453833000.0,1358944000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",예찰진단(산림병해충예찰방제단) 사업 미검색 - 국비 0으로 처리
2017,경상남도,김해시,1891116960.0,2870613880.0,65.88,1,소나무재선충병방제,0.0,0.0,,0,,1891116960.0,2870613880.0,65.88,1,20749.9,91138.61,91138.6,269967460.0,709529460.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",예찰진단(산림병해충예찰방제단) 사업 미검색 - 국비 0으로 처리
2018,경상남도,김해시,1804920100.0,2844778640.0,63.45,1,소나무재선충병방제,125579000.0,251158000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단)(경상); 산림재해일자리장기(산림병해충예찰방제단)(자본),1930499100.0,3095936640.0,62.36,3,20694.1,87219.07,93287.4,312435840.0,727422700.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2019,경상남도,김해시,1842438850.0,2981132920.0,61.8,2,소나무재선충병 재해대책비; 소나무재선충병방제,133659000.0,267319000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단)(경상); 산림재해일자리장기(산림병해충예찰방제단)(자본),1976097850.0,3248451920.0,60.83,4,20638.4,89272.37,95748.6,341608320.0,797085750.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2020,경상남도,김해시,1164403450.0,1809302090.0,64.36,3,소나무재선충병 재해대책비; 소나무재선충병방제; 소나무재선충병방제(자체재원),137926000.0,275852000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단)(경상); 산림재해일자리장기(산림병해충예찰방제단)(자본),1302329450.0,2085154090.0,62.46,5,20582.9,56571.4,63272.4,168079670.0,476818970.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2021,경상남도,김해시,767545370.0,1214943470.0,63.18,4,소나무재선충병 방제; 소나무재선충병 방제(재해대책비); 소나무재선충병방제(자체재원); 재선충병 이동단속,139014000.0,288228000.0,48.23,2,산림재해일자리 장기(산림병해충예찰방제단)(경상); 산림재해일자리장기(산림병해충예찰방제단)(자본),906559370.0,1503171470.0,60.31,6,20527.6,37390.9,44162.9,115799050.0,331599050.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2022,경상남도,김해시,840228420.0,1723135660.0,48.76,4,소나무재선충병 방제; 소나무재선충병 방제(긴급방제비); 소나무재선충병방제(자체재원); 재선충병 이동단속,140794000.0,300608000.0,46.84,2,산림재해일자리 장기(산림병해충예찰방제단)(경상); 산림재해일자리장기(산림병해충예찰방제단)(자본),981022420.0,2023743660.0,48.48,6,20472.4,41042.01,47919.3,131134360.0,751772880.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2023,경상남도,김해시,2035312000.0,3546516410.0,57.39,3,소나무재선충병 방제; 소나무재선충병방제(자체재원); 재선충병 이동단속,149798000.0,314536000.0,47.63,2,산림재해일자리 장기(산림병해충예찰방제단)(경상); 산림재해일자리장기(산림병해충예찰방제단)(자본),2185110000.0,3861052410.0,56.59,5,20417.3,99685.66,107022.5,258446000.0,1252758410.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
