year,sigungu_cd,sigungu_nm,sido,sigungu_full_nm,log_resource_budget_per_pine_ha,log_surveillance_budget_per_pine_ha,log_movement_budget_per_pine_ha,resource_local_budget,surveillance_local_budget,movement_local_budget,included_local_budget,surveillance_share,movement_share_included_budget,prev_infected_sites,current_infected_sites,recurrent_sites_300m,recurrence_rate_300m,pine_area_ha_2024,pine_area_positive,pine_area_observed,budget_observed,budget_missing_reason
2016,41150,의정부시,경기도,경기도 의정부시,13.329202599128482,0.0,0.0,171404000.0,0.0,0.0,171404000.0,0.0,0.0,,1,,,278.7549075,1,1,1,observed
2016,41171,안양시 만안구,경기도,경기도 안양시 만안구,,,,,,,,,,,0,,,290.482493,1,1,0,city_district_granularity
2016,41173,안양시 동안구,경기도,경기도 안양시 동안구,,,,,,,,,,,0,,,126.5846225,1,1,0,city_district_granularity
2016,41190,부천시,경기도,경기도 부천시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,,36.07376757,1,1,1,observed
2016,41210,광명시,경기도,경기도 광명시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,,47.75185169,1,1,1,observed
2016,41220,평택시,경기도,경기도 평택시,12.19721335565528,0.0,0.0,158024000.0,0.0,0.0,158024000.0,0.0,0.0,,74,,,797.1550223,1,1,1,observed
2016,41250,동두천시,경기도,경기도 동두천시,13.825969759320882,0.0,0.0,612953000.0,0.0,0.0,612953000.0,0.0,0.0,,62,,,606.5760119,1,1,1,observed
2016,41271,안산시 상록구,경기도,경기도 안산시 상록구,,,,,,,,,,,0,,,65.74016284,1,1,0,city_district_granularity
2016,41273,안산시 단원구,경기도,경기도 안산시 단원구,,,,,,,,,,,0,,,785.9610642,1,1,0,city_district_granularity
2016,41281,고양시 덕양구,경기도,경기도 고양시 덕양구,,,,,,,,,,,0,,,370.5388339,1,1,0,city_district_granularity
2016,41285,고양시 일산동구,경기도,경기도 고양시 일산동구,,,,,,,,,,,0,,,41.36806591,1,1,0,city_district_granularity
2016,41287,고양시 일산서구,경기도,경기도 고양시 일산서구,,,,,,,,,,,0,,,0.701742712,1,1,0,city_district_granularity
2016,41290,과천시,경기도,경기도 과천시,13.480117058117274,0.0,0.0,163732000.0,0.0,0.0,163732000.0,0.0,0.0,,0,,,228.9779803,1,1,1,observed
2016,41310,구리시,경기도,경기도 구리시,12.930310529129532,0.0,0.0,64998000.0,0.0,0.0,64998000.0,0.0,0.0,,0,,,157.5210267,1,1,1,observed
2016,41360,남양주시,경기도,경기도 남양주시,12.691398008668402,0.0,0.0,1104467000.0,0.0,0.0,1104467000.0,0.0,0.0,,3976,,,3398.990557,1,1,1,observed
2016,41370,오산시,경기도,경기도 오산시,13.08643191077568,0.0,0.0,73619000.0,0.0,0.0,73619000.0,0.0,0.0,,0,,,152.6249897,1,1,1,observed
2016,41390,시흥시,경기도,경기도 시흥시,14.265574315883798,0.0,0.0,233215000.0,0.0,0.0,233215000.0,0.0,0.0,,0,,,148.6950634,1,1,1,observed
2016,41410,군포시,경기도,경기도 군포시,14.455683678757348,0.0,0.0,105643000.0,0.0,0.0,105643000.0,0.0,0.0,,0,,,55.6951401,1,1,1,observed
2016,41430,의왕시,경기도,경기도 의왕시,13.973150104611651,0.0,0.0,164376000.0,0.0,0.0,164376000.0,0.0,0.0,,0,,,140.4031313,1,1,1,observed
2016,41450,하남시,경기도,경기도 하남시,14.176841864401226,0.0,0.0,251572000.0,0.0,0.0,251572000.0,0.0,0.0,,387,,,175.2824409,1,1,1,observed
2016,41461,용인시 처인구,경기도,경기도 용인시 처인구,,,,,,,,,,,533,,,1871.168329,1,1,0,city_district_granularity
2016,41463,용인시 기흥구,경기도,경기도 용인시 기흥구,,,,,,,,,,,51,,,265.3250571,1,1,0,city_district_granularity
2016,41465,용인시 수지구,경기도,경기도 용인시 수지구,,,,,,,,,,,2,,,64.75556915,1,1,0,city_district_granularity
2016,41480,파주시,경기도,경기도 파주시,12.311779851184076,0.0,0.0,148136000.0,0.0,0.0,148136000.0,0.0,0.0,,1,,,666.3839299,1,1,1,observed
2016,41500,이천시,경기도,경기도 이천시,12.809071628601052,0.0,0.0,206097000.0,0.0,0.0,206097000.0,0.0,0.0,,39,,,563.8501908,1,1,1,observed
2016,41550,안성시,경기도,경기도 안성시,11.695847620535297,0.0,0.0,268927000.0,0.0,0.0,268927000.0,0.0,0.0,,130,,,2239.731414,1,1,1,observed
2016,41570,김포시,경기도,경기도 김포시,14.257785855734182,0.0,0.0,144018000.0,0.0,0.0,144018000.0,0.0,0.0,,0,,,92.54209632,1,1,1,observed
2016,41590,화성시,경기도,경기도 화성시,10.523606128984255,0.0,0.0,69251000.0,0.0,0.0,69251000.0,0.0,0.0,,0,,,1862.488748,1,1,1,observed
2016,41610,광주시,경기도,경기도 광주시,13.40654889688328,0.0,0.0,1210087000.0,0.0,0.0,1210087000.0,0.0,0.0,,11406,,,1821.49105,1,1,1,observed
2016,41630,양주시,경기도,경기도 양주시,11.776371659325058,0.0,0.0,297065000.0,0.0,0.0,297065000.0,0.0,0.0,,10,,,2282.661927,1,1,1,observed
2016,41650,포천시,경기도,경기도 포천시,11.25759788279152,0.0,0.0,681175000.0,0.0,0.0,681175000.0,0.0,0.0,,2090,,,8793.295475,1,1,1,observed
2016,41670,여주시,경기도,경기도 여주시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5,,,2012.266516,1,1,1,observed
2016,41800,연천군,경기도,경기도 연천군,12.917450680563016,0.0,0.0,308711000.0,0.0,0.0,308711000.0,0.0,0.0,,525,,,757.8366768,1,1,1,observed
2016,41820,가평군,경기도,경기도 가평군,9.985002202831945,0.0,0.0,301862435.0,0.0,0.0,301862435.0,0.0,0.0,,437,,,13912.26136,1,1,1,observed
2016,41830,양평군,경기도,경기도 양평군,10.721370636340309,0.0,0.0,451703000.0,0.0,0.0,451703000.0,0.0,0.0,,614,,,9968.514694,1,1,1,observed
2016,43111,청주시 상당구,충청북도,충청북도 청주시 상당구,,,,,,,,,,,0,,,3613.7589,1,1,0,city_district_granularity
2016,43112,청주시 서원구,충청북도,충청북도 청주시 서원구,,,,,,,,,,,0,,,230.1457809,1,1,0,city_district_granularity
2016,43113,청주시 흥덕구,충청북도,충청북도 청주시 흥덕구,,,,,,,,,,,6,,,223.1686569,1,1,0,city_district_granularity
2016,43114,청주시 청원구,충청북도,충청북도 청주시 청원구,,,,,,,,,,,0,,,550.4044811,1,1,0,city_district_granularity
2016,43130,충주시,충청북도,충청북도 충주시,10.588630671890805,7.374075298309664,0.0,325363000.0,13063000.0,0.0,338426000.0,0.03859928,0.0,,0,,,8199.648523,1,1,1,observed
2016,43150,제천시,충청북도,충청북도 제천시,10.518128170156166,6.801033676020648,0.0,538057000.0,13063000.0,0.0,551120000.0,0.023702642,0.0,,2,,,14550.40245,1,1,1,observed
2016,43720,보은군,충청북도,충청북도 보은군,9.525217825649191,7.4221466004853776,0.0,107059000.0,13063000.0,0.0,120122000.0,0.108747773,0.0,,0,,,7814.574598,1,1,1,observed
2016,43730,옥천군,충청북도,충청북도 옥천군,7.867928640371193,10.181360516476149,0.0,8823000.0,89223000.0,0.0,98046000.0,0.910011627,0.0,,0,,,3378.971884,1,1,1,observed
2016,43740,영동군,충청북도,충청북도 영동군,8.66717175135672,9.190829393114464,8.65694530643876,57586000.0,97223000.0,57000000.0,211809000.0,0.459012601,0.2691103777459881,,1,,,9914.865239,1,1,1,observed
2016,43745,증평군,충청북도,충청북도 증평군,11.923170039875396,10.400885590013608,0.0,59865000.0,13063000.0,0.0,72928000.0,0.179121874,0.0,,0,,,397.1997014,1,1,1,observed
2016,43750,진천군,충청북도,충청북도 진천군,10.448410617400214,8.544803049096595,0.0,87668000.0,13063000.0,0.0,100731000.0,0.129682024,0.0,,0,,,2541.947727,1,1,1,observed
2016,43760,괴산군,충청북도,충청북도 괴산군,9.070409978028854,6.812026440442473,0.0,125105000.0,13063000.0,0.0,138168000.0,0.094544323,0.0,,0,,,14391.15399,1,1,1,observed
2016,43770,음성군,충청북도,충청북도 음성군,11.247995679927351,8.470701434963,0.0,210019000.0,13062000.0,0.0,223081000.0,0.058552723,0.0,,0,,,2737.296174,1,1,1,observed
2016,43800,단양군,충청북도,충청북도 단양군,9.975133830491156,6.722456027893622,0.0,338168000.0,13062000.0,0.0,351230000.0,0.037189306,0.0,,12,,,15740.08756,1,1,1,observed
2016,44131,천안시 동남구,충청남도,충청남도 천안시 동남구,,,,,,,,,,,0,,,2325.691781,1,1,0,city_district_granularity
2016,44133,천안시 서북구,충청남도,충청남도 천안시 서북구,,,,,,,,,,,0,,,436.4870182,1,1,0,city_district_granularity
