"연도","시군구코드","시도","시군구","방제법인수_소나무림1만ha당_log","이동통제예산_소나무림ha당_log","예찰진단예산비중","이동통제예산비중","반출금지구역_지정여부","반출금지구역면적비율","예산자료_사용가능여부","법인자료_연도완전여부","법인자료_최신성주의플래그","반출금지구역자료_완전성플래그"
"2016","45720","전라북도","진안군","1.5192934275195018","0.0","0.43619799","0.0","","","1","1","0","0"
"2016","45730","전라북도","무주군","2.467591638486618","0.0","0.0","0.0","","","1","1","0","0"
"2016","45740","전라북도","장수군","2.6231782554292766","0.0","0.0","0.0","","","1","1","0","0"
"2016","45750","전라북도","임실군","1.424664447822283","0.0","0.0","0.0","1.0","1.324451832233092","1","1","0","0"
"2016","45770","전라북도","순창군","1.670400151889266","0.0","0.0","0.0","1.0","1.1333650066142986","1","1","0","0"
"2016","45790","전라북도","고창군","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","45800","전라북도","부안군","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","46110","전라남도","목포시","3.0766871210233","0.0","0.0","0.0","1.0","0.6516228194166204","1","1","0","0"
"2016","46130","전라남도","여수시","1.8627259671043552","0.0","0.0","0.0","1.0","3.7249131310527788","1","1","0","0"
"2016","46150","전라남도","순천시","2.4509374807946314","0.0","0.0","0.0","1.0","2.235811022173991","1","1","0","0"
"2016","46170","전라남도","나주시","3.1022999846193295","0.0","0.0","0.0","","","1","1","0","0"
"2016","46230","전라남도","광양시","2.027402744421481","0.0","0.0","0.0","1.0","3.6501299947010497","1","1","0","0"
"2016","46710","전라남도","담양군","2.7479406671938675","0.0","0.0","0.0","","","1","1","0","0"
"2016","46720","전라남도","곡성군","2.0229813885835446","0.0","0.0","0.0","","","1","1","0","0"
"2016","46730","전라남도","구례군","1.5020128749528396","0.0","0.0","0.0","","","1","1","0","0"
"2016","46770","전라남도","고흥군","2.49393398184685","0.0","0.0","0.0","1.0","0.20481883953948898","1","1","0","0"
"2016","46780","전라남도","보성군","3.1525340188567186","0.0","0.0","0.0","1.0","0.34399140242425186","1","1","0","0"
"2016","46790","전라남도","화순군","2.311010673063944","0.0","0.0","0.0","","","1","1","0","0"
"2016","46800","전라남도","장흥군","2.535695223181636","0.0","0.0","0.0","","","1","1","0","0"
"2016","46810","전라남도","강진군","1.9431655609687355","0.0","0.0","0.0","","","1","1","0","0"
"2016","46820","전라남도","해남군","2.569044492138292","0.0","0.0","0.0","","","1","1","0","0"
"2016","46830","전라남도","영암군","1.25015748824723","0.0","0.0","0.0","","","1","1","0","0"
"2016","46840","전라남도","무안군","0.0","0.0","0.0","0.0","1.0","0.1465307391548116","1","1","0","0"
"2016","46860","전라남도","함평군","1.6441761966750719","0.0","0.0","0.0","","","1","1","0","0"
"2016","46870","전라남도","영광군","0.8416473673196126","0.0","0.0","0.0","","","1","1","0","0"
"2016","46880","전라남도","장성군","2.255488194054421","0.0","0.0","0.0","","","1","1","0","0"
"2016","46890","전라남도","완도군","1.4782205288678318","0.0","0.0","0.0","","","1","1","0","0"
"2016","46900","전라남도","진도군","2.514445715392703","0.0","0.0","0.0","","","1","1","0","0"
"2016","46910","전라남도","신안군","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","47111","경상북도","포항시 남구","2.4146967785757627","","","","1.0","13.45213064656263","0","1","0","0"
"2016","47113","경상북도","포항시 북구","1.747912526594001","","","","","","0","1","0","0"
"2016","47130","경상북도","경주시","1.4299072893682019","0.0","0.0","0.0","1.0","3.429716263422106","1","1","0","0"
"2016","47150","경상북도","김천시","1.4718806809085143","0.0","0.172233343","0.0","1.0","0.40347823222356827","1","1","0","0"
"2016","47170","경상북도","안동시","1.4346322028807452","0.0","0.0","0.0","1.0","2.0118052061627725","1","1","0","0"
"2016","47190","경상북도","구미시","1.6801623033531565","0.0","0.0","0.0","1.0","5.08714931190675","1","1","0","0"
"2016","47210","경상북도","영주시","1.8585901492460968","0.0","0.0","0.0","1.0","0.7111514069045755","1","1","0","0"
"2016","47230","경상북도","영천시","1.1789350432279222","0.0","0.135903336","0.0","1.0","0.883707375863207","1","1","0","0"
"2016","47250","경상북도","상주시","1.8745447882010968","0.0","0.216214148","0.0","1.0","0.8329748536904122","1","1","0","0"
"2016","47280","경상북도","문경시","1.5855832518626445","0.0","0.063070237","0.0","","","1","1","0","0"
"2016","47290","경상북도","경산시","1.8830879532423734","0.0","0.0","0.0","1.0","0.45077889592758086","1","1","0","0"
"2016","47730","경상북도","의성군","1.0045365973636717","0.0","0.0","0.0","1.0","0.5342490597825028","1","1","0","0"
"2016","47750","경상북도","청송군","1.3835900677563626","0.0","0.0","0.0","","","1","1","0","0"
"2016","47760","경상북도","영양군","1.0870525070422863","0.0","0.0","0.0","","","1","1","0","0"
"2016","47770","경상북도","영덕군","1.0426853227356148","0.0","0.0","0.0","1.0","1.247892702396217","1","1","0","0"
"2016","47820","경상북도","청도군","1.0036015674289929","0.0","0.0","0.0","1.0","1.2966431959121738","1","1","0","0"
"2016","47830","경상북도","고령군","1.066694752795173","0.0","0.0","0.0","1.0","0.7209487648539746","1","1","0","0"
"2016","47840","경상북도","성주군","1.464062294395618","0.0","0.162769482","0.0","1.0","1.5231541749346238","1","1","0","0"
"2016","47850","경상북도","칠곡군","1.4552533242713042","0.0","0.189459329","0.0","1.0","3.3354000960689323","1","1","0","0"
"2016","47900","경상북도","예천군","1.3045216874989363","0.0","0.0","0.0","","","1","1","0","0"
"2016","47920","경상북도","봉화군","1.0774146826393853","0.0","0.070998779","0.0","1.0","0.1251351388216229","1","1","0","0"
"2016","47930","경상북도","울진군","1.0287283034568342","0.0","0.0","0.0","","","1","1","0","0"
"2016","47940","경상북도","울릉군","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","48121","경상남도","창원시 의창구","1.5883425275559249","","","","","","0","1","0","0"
"2016","48123","경상남도","창원시 성산구","0.0","","","","","","0","1","0","0"
"2016","48125","경상남도","창원시 마산합포구","1.588548674076729","","","","","","0","1","0","0"
"2016","48127","경상남도","창원시 마산회원구","1.664538104697602","","","","","","0","1","0","0"
"2016","48129","경상남도","창원시 진해구","0.0","","","","","","0","1","0","0"
"2016","48170","경상남도","진주시","1.7786234499911846","0.0","0.0","0.0","1.0","3.507990386169501","1","1","0","0"
"2016","48220","경상남도","통영시","1.4694754361349491","0.0","0.0","0.0","1.0","1.6108890986921724","1","1","0","0"
"2016","48240","경상남도","사천시","1.8159124349238251","0.0","0.0","0.0","1.0","0.05970151197644436","1","1","0","0"
"2016","48250","경상남도","김해시","2.0306046997674025","0.0","0.0","0.0","1.0","4.038461103032623","1","1","0","0"
"2016","48270","경상남도","밀양시","1.3936274810322336","0.0","0.0","0.0","1.0","3.226303420647084","1","1","0","0"
"2016","48310","경상남도","거제시","1.9223938126245466","0.0","0.0","0.0","1.0","2.758143821886935","1","1","0","0"
"2016","48330","경상남도","양산시","2.1988511470847856","0.0","0.0","0.0","1.0","5.840009057795902","1","1","0","0"
"2016","48720","경상남도","의령군","0.48304247513939924","0.0","0.0","0.0","1.0","2.476232538345603","1","1","0","0"
"2016","48730","경상남도","함안군","1.8863894986763743","0.0","0.0","0.0","1.0","0.5659371578085891","1","1","0","0"
"2016","48740","경상남도","창녕군","1.074986465245706","0.0","0.0","0.0","1.0","3.427725625014515","1","1","0","0"
"2016","48820","경상남도","고성군","1.5188182654405695","0.0","0.0","0.0","1.0","0.9430685907873445","1","1","0","0"
"2016","48840","경상남도","남해군","1.359843992531207","0.0","0.0","0.0","1.0","1.6585141667775574","1","1","0","0"
"2016","48850","경상남도","하동군","2.005593535352718","0.0","0.0","0.0","1.0","2.43126059542026","1","1","0","0"
"2016","48860","경상남도","산청군","1.2722397688379665","0.0","0.0","0.0","1.0","0.8140644412615702","1","1","0","0"
"2016","48870","경상남도","함양군","1.9534375452201667","0.0","0.0","0.0","1.0","0.20398241280273402","1","1","0","0"
"2016","48880","경상남도","거창군","1.0822526267944181","0.0","0.0","0.0","1.0","0.41446042999328514","1","1","0","0"
"2016","48890","경상남도","합천군","1.0471025466674213","0.0","0.0","0.0","1.0","0.34417021185596397","1","1","0","0"
"2016","50110","제주특별자치도","제주시","3.0925597495957224","","","","","","0","1","0","0"
"2016","50130","제주특별자치도","서귀포시","2.4147697289219616","","","","","","0","1","0","0"
"2016","51110","강원특별자치도","춘천시","2.390931943069166","0.0","0.0","0.0","1.0","1.6650749827847109","1","1","0","0"
"2016","51130","강원특별자치도","원주시","0.6700739166529438","0.0","0.0","0.0","1.0","1.7233271741086884","1","1","0","0"
"2016","51150","강원특별자치도","강릉시","1.800374004003916","0.0","0.0","0.0","","","1","1","0","0"
"2016","51170","강원특별자치도","동해시","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2016","51190","강원특별자치도","태백시","1.6993875424570484","0.0","0.0","0.0","","","1","1","0","0"
"2016","51210","강원특별자치도","속초시","2.457301945571374","0.0","0.0","0.0","","","1","1","0","0"
"2016","51230","강원특별자치도","삼척시","0.6799243013693317","0.0","0.520416948","0.0","","","1","1","0","0"
"2016","51720","강원특별자치도","홍천군","1.5360660559201387","0.0","0.0","0.0","","","1","1","0","0"
"2016","51730","강원특별자치도","횡성군","1.1156108655513437","0.0","0.0","0.0","1.0","0.8237523687895162","1","1","0","0"
"2016","51750","강원특별자치도","영월군","0.32764390646552816","0.0","0.0","0.0","","","1","1","0","0"
"2016","51760","강원특별자치도","평창군","1.001365285090081","0.0","0.0","0.0","","","1","1","0","0"
"2016","51770","강원특별자치도","정선군","1.5052280802782798","0.0","0.0","0.0","1.0","0.8137472553936301","1","1","0","0"
"2016","51780","강원특별자치도","철원군","4.752710761516938","0.0","0.0","0.0","","","1","1","0","0"
"2016","51790","강원특별자치도","화천군","1.7110125043433964","0.0","0.0","0.0","","","1","1","0","0"
"2016","51800","강원특별자치도","양구군","3.399940893274757","0.0","0.0","0.0","","","1","1","0","0"
"2016","51810","강원특별자치도","인제군","1.150772805942683","0.0","0.0","0.0","","","1","1","0","0"
"2016","51820","강원특별자치도","고성군","2.825922339168735","0.0","0.0","0.0","","","1","1","0","0"
"2016","51830","강원특별자치도","양양군","1.8494016648242275","0.0","0.0","0.0","","","1","1","0","0"
"2017","11110","서울특별시","종로구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2017","11140","서울특별시","중구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2017","11170","서울특별시","용산구","0.0","0.0","","","","","1","1","0","0"
"2017","11200","서울특별시","성동구","0.0","0.0","0.018653553","0.0","","","1","1","0","0"
"2017","11215","서울특별시","광진구","0.0","0.0","","","","","1","1","0","0"
"2017","11230","서울특별시","동대문구","0.0","0.0","","","","","1","1","0","0"
"2017","11260","서울특별시","중랑구","4.848204860781462","0.0","","","","","1","1","0","0"
"2017","11290","서울특별시","성북구","0.0","0.0","","","","","1","1","0","0"
"2017","11305","서울특별시","강북구","0.0","0.0","","","","","1","1","0","0"
"2017","11320","서울특별시","도봉구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2017","11350","서울특별시","노원구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2017","11380","서울특별시","은평구","3.7721619326673594","0.0","0.527784504","0.0","","","1","1","0","0"
"2017","11410","서울특별시","서대문구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2017","11440","서울특별시","마포구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2017","11470","서울특별시","양천구","0.0","0.0","","","","","1","1","0","0"
"2017","11500","서울특별시","강서구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2017","11530","서울특별시","구로구","0.0","0.0","0.0","0.0","","","1","1","0","0"
"2017","11545","서울특별시","금천구","5.969796480460376","0.0","0.418065725","0.0","","","1","1","0","0"
"2017","11560","서울특별시","영등포구","","","","","","","0","1","0","0"
"2017","11590","서울특별시","동작구","0.0","0.0","","","","","1","1","0","0"
"2017","11620","서울특별시","관악구","3.50614143500919","0.0","","","","","1","1","0","0"
"2017","11650","서울특별시","서초구","0.0","0.0","0.032729233","0.0","","","1","1","0","0"
"2017","11680","서울특별시","강남구","0.0","0.0","","","","","1","1","0","0"
"2017","11710","서울특별시","송파구","0.0","12.479879064996561","0.480264176","0.0773953872349208","1.0","22.5470989571888","1","1","0","0"
"2017","11740","서울특별시","강동구","0.0","0.0","0.006542612","0.0","","","1","1","0","0"
"2017","26110","부산광역시","중구","0.0","0.0","","","","","1","1","0","0"
"2017","26140","부산광역시","서구","0.0","0.0","0.915682873","0.0","","","1","1","0","0"
"2017","26170","부산광역시","동구","0.0","0.0","0.966922893","0.0","","","1","1","0","0"
