시군구코드,시도명,소나무류면적_ha,산림면적_ha,소나무류비율
11260,서울,262.2,1785.0,14.7
41450,경기,221.4,5424.8,4.1
26140,부산,209.9,893.9,23.5
29140,광주,172.2,711.1,24.2
26470,부산,141.9,407.0,34.9
26170,부산,134.2,332.5,40.4
45113,전북,124.7,2283.5,5.5
41113,경기,123.3,614.8,20.1
41135,경기,108.1,4475.4,2.4
26500,부산,95.9,272.2,35.2
41465,경기,84.9,2877.4,3.0
41131,경기,84.9,3169.5,2.7
11740,서울,74.3,1013.0,7.3
41133,경기,42.3,1852.2,2.3
11140,서울,38.2,598.3,6.4
27170,대구,34.6,389.6,8.9
41287,경기,0.8,88.7,0.9
26110,부산,0.1,0.0,0.0
11060,서울,0.0,0.0,0.0
11070,서울,0.0,0.0,0.0
11010,서울,0.0,0.0,0.0
11030,서울,0.0,0.0,0.0
11100,서울,0.0,0.0,0.0
11080,서울,0.0,0.0,0.0
11090,서울,0.0,0.0,0.0
11110,서울,0.0,0.0,0.0
28010,인천,0.0,0.0,0.0
11180,서울,0.0,0.0,0.0
11200,서울,0.0,0.0,0.0
11120,서울,0.0,0.0,0.0
11040,서울,0.0,0.0,0.0
11150,서울,0.0,0.0,0.0
11190,서울,0.0,0.0,0.0
11160,서울,0.0,0.0,0.0
41130,경기,0.0,0.0,0.0
11130,서울,0.0,0.0,0.0
27110,대구,0.0,0.0,0.0
28070,인천,0.0,0.0,0.0
28060,인천,0.0,0.0,0.0
28720,인천,0.0,0.0,0.0
28710,인천,0.0,0.0,0.0
28030,인천,0.0,0.0,0.0
28020,인천,0.0,0.0,0.0
41010,경기,0.0,0.0,0.0
28040,인천,0.0,0.0,0.0
41270,경기,0.0,0.0,0.0
41285,경기,0.0,0.0,0.0
11210,서울,0.0,0.0,0.0
41170,경기,0.0,0.0,0.0
28050,인천,0.0,0.0,0.0
28080,인천,0.0,0.0,0.0
11020,서울,0.0,0.0,0.0
41050,경기,0.0,0.0,0.0
11050,서울,0.0,0.0,0.0
41290,경기,0.0,0.0,0.0
41210,경기,0.0,0.0,0.0
41190,경기,0.0,0.0,0.0
41030,경기,0.0,0.0,0.0
43745,충북,0.0,0.0,0.0
43720,충북,0.0,0.0,0.0
43110,충북,0.0,0.0,0.0
44130,충남,0.0,0.0,0.0
47110,경북,0.0,0.1,0.0
