시도,시군구,노출도_점수,기후위험도_점수,지자체대응역량_점수,인위적확산_점수,구조적취약성지수,노출도_점수_기여,기후위험도_점수_기여,지자체대응역량_점수_기여,인위적확산_점수_기여,배분갭,축A_위험요인유형,축B_배분적정성
경기도,의왕시,-1.093176295935024,0.13750933494553605,-0.478300101665697,-0.90426773463551,-0.5845586993226738,-0.273294073983756,0.03437733373638401,-0.11957502541642424,-0.2260669336588775,7.622978326365715,복합형,과다
경기도,의정부시,-1.0034168546515894,0.06818290586866825,0.6820382281501978,-0.05682355828550587,-0.07750481972955728,-0.25085421366289734,0.017045726467167063,0.17050955703754944,-0.014205889571376468,-5.109682039395464,인위적확산-우세형,부족
경기도,이천시,-1.2280199364839084,0.1638452266370935,-0.4479500588169191,-1.4200977900533378,-0.733055639679268,-0.3070049841209771,0.040961306659273375,-0.11198751470422978,-0.35502444751333445,7.662124513557798,복합형,과다
경기도,파주시,-1.2555709941597324,-0.11401341713123765,-0.5585003054744163,-1.2014030504813937,-0.7823719418116951,-0.3138927485399331,-0.028503354282809413,-0.13962507636860408,-0.30035076262034843,8.787165162244138,복합형,과다
경기도,평택시,-1.1979827607511966,0.13750933494553605,-0.4677448318758895,-1.1836395230497363,-0.6779644451828216,-0.29949569018779915,0.03437733373638401,-0.11693620796897237,-0.2959098807624341,7.7380964987248,복합형,과다
경기도,포천시,-0.2866775473409439,0.06818290586866825,-0.4030920098019628,-0.3828873268988937,-0.251118494543283,-0.07166938683523598,0.017045726467167063,-0.1007730024504907,-0.09572183172472343,6.109422463029139,복합형,과다
경기도,하남시,-1.1700756988434626,0.11812201979577348,-0.5727688723593769,-0.5679467624928974,-0.5481673284749908,-0.29251892471086566,0.02953050494894337,-0.14319221808984423,-0.14198669062322436,8.483715131929907,인위적확산-우세형,과다
경기도,화성시,-1.1015712119452568,0.13750933494553605,-0.2250812119016563,-0.7913913281552342,-0.4951336042641528,-0.2753928029863142,0.03437733373638401,-0.05627030297541408,-0.19784783203880854,4.902359979536653,복합형,과다
경상남도,거제시,1.711084272465041,1.4502322426484442,-0.3403708913079411,0.4521524499306176,0.8182745184340404,0.42777106811626026,0.36255806066211105,-0.08509272282698528,0.1130381124826544,3.042009667185974,노출도-우세형,적정
경상남도,거창군,1.306339610208199,-0.22189205024137826,-0.08564415758249877,-0.38133113295434157,0.1543680673574951,0.32658490255204975,-0.055473012560344565,-0.021411039395624692,-0.09533278323858539,2.0209187271722877,노출도-우세형,적정
경상남도,고성군,2.0176524850740347,0.5903549170776315,-0.19932325582182867,0.9898005505319438,0.8496211742154455,0.5044131212685087,0.1475887292694079,-0.049830813955457166,0.24745013763298596,1.5641922229164837,노출도-우세형,적정
경상남도,김해시,0.3370650530610238,0.4752134292738865,-0.4165616994510739,0.6522019331807103,0.26197967901613667,0.08426626326525595,0.11880335731847162,-0.10414042486276848,0.16305048329517757,5.072726359844439,복합형,과다
경상남도,남해군,1.6264794536995717,1.33630932391607,-0.19819636096556373,0.7247808220982268,0.8723433096870762,0.4066198634248929,0.3340773309790175,-0.04954909024139093,0.1811952055245567,1.4984525213466409,노출도-우세형,적정
경상남도,밀양시,1.212827437784318,0.4809740490853449,-0.4508177248818763,0.8070656952664358,0.5125123643135556,0.3032068594460795,0.12024351227133623,-0.11270443122046908,0.20176642381660895,4.8348113172536635,복합형,과다
경상남도,사천시,1.6797938283680587,0.5686943435438631,-0.3485190971629859,0.6467124534244891,0.6366703820433562,0.41994845709201467,0.14217358588596576,-0.08712977429074648,0.16167811335612228,3.534996548881737,노출도-우세형,과다
경상남도,산청군,1.199081916007262,0.21301290811369408,-0.13568208857112843,1.200975916912928,0.6193471631156889,0.2997704790018155,0.05325322702842352,-0.03392052214278211,0.300243979228232,1.4588404704585827,복합형,적정
경상남도,양산시,0.24163740239434114,0.5229491802215694,-0.3430078889907618,0.022758280350332324,0.11108424349387029,0.060409350598585286,0.13073729505539236,-0.08575197224769045,0.005689570087583081,4.68389510573233,복합형,과다
경상남도,의령군,2.1170738990445437,0.4129592539327293,-0.27986900972082346,0.6174989863614125,0.7169157824044654,0.5292684747611359,0.10323981348318233,-0.06996725243020586,0.15437474659035313,2.668571770960236,노출도-우세형,적정
경상남도,진주시,1.6254836330107858,0.5686943435438631,-0.37593502089347375,0.6667321973795725,0.6212437882601869,0.40637090825269645,0.14217358588596576,-0.09398375522336844,0.1666830493448931,3.8447974294805043,노출도-우세형,과다
경상남도,창녕군,1.719429424478748,0.4809740490853449,-0.5931496288340484,0.5935897693923486,0.5502109035305983,0.429857356119687,0.12024351227133623,-0.1482874072085121,0.14839744234808716,3.2400669213203503,노출도-우세형,과다
경상남도,창원시,0.8813802442180787,0.62553506209312,-0.6575454448428076,0.5801610284481616,0.35738272247913816,0.22034506105451968,0.15638376552328,-0.1643863612107019,0.1450402571120404,4.328224044035297,복합형,과다
경상남도,통영시,2.4074643479626276,0.5903549170776315,-0.344790258114177,0.6180672092353644,0.8177740540403616,0.6018660869906569,0.1475887292694079,-0.08619756452854425,0.1545168023088411,3.0840468081299406,노출도-우세형,적정
경상남도,하동군,1.0096879313826959,0.6404626055071118,-0.5670438104120038,0.8946722939995592,0.4944447551193407,0.25242198284567396,0.16011565137677794,-0.14176095260300095,0.2236680734998898,3.1043069946996713,복합형,과다
경상남도,함안군,0.8991645011565667,0.4129592539327293,-0.32225440790318843,0.2369634905394066,0.3067082094313785,0.22479112528914166,0.10323981348318233,-0.08056360197579711,0.05924087263485165,4.026865574608786,노출도-우세형,과다
