연도,시도,시군구,국비지원액_최종_원,log_국비지원액_최종_원,산림면적당_국비지원액_최종(원per ha),log_국비지원액_최종_per_ha,log_국비지원액_직접방제_원,log_국비지원액_예찰진단_원,예찰진단_예산비중,국비비율_최종(%),국비비율_결측_flag,매칭사업수_최종,매칭사업_없음_flag,index_eligible
2021,경기도,양평군,,,,,,,,,1,,,0
2022,경기도,양평군,,,,,,,,,1,,,0
2023,경기도,양평군,,,,,,,,,1,,,0
2016,경기도,여주시,,,,,,,,,1,,,0
2017,경기도,여주시,,,,,,,,,1,,,0
2018,경기도,여주시,,,,,,,,,1,,,0
2019,경기도,여주시,,,,,,,,,1,,,0
2020,경기도,여주시,,,,,,,,,1,,,0
2021,경기도,여주시,,,,,,,,,1,,,0
2022,경기도,여주시,,,,,,,,,1,,,0
2023,경기도,여주시,,,,,,,,,1,,,0
2016,경기도,연천군,,,,,,,,,1,,,0
2017,경기도,연천군,,,,,,,,,1,,,0
2018,경기도,연천군,,,,,,,,,1,,,0
2019,경기도,연천군,,,,,,,,,1,,,0
2020,경기도,연천군,,,,,,,,,1,,,0
2021,경기도,연천군,,,,,,,,,1,,,0
2022,경기도,연천군,,,,,,,,,1,,,0
2023,경기도,연천군,,,,,,,,,1,,,0
2016,경기도,오산시,,,,,,,,,1,,,0
2017,경기도,오산시,,,,,,,,,1,,,0
2018,경기도,오산시,,,,,,,,,1,,,0
2019,경기도,오산시,,,,,,,,,1,,,0
2020,경기도,오산시,,,,,,,,,1,,,0
2021,경기도,오산시,,,,,,,,,1,,,0
2022,경기도,오산시,,,,,,,,,1,,,0
2023,경기도,오산시,,,,,,,,,1,,,0
2016,경기도,용인시,,,,,,,,,1,,,0
2017,경기도,용인시,,,,,,,,,1,,,0
2018,경기도,용인시,,,,,,,,,1,,,0
2019,경기도,용인시,,,,,,,,,1,,,0
2020,경기도,용인시,,,,,,,,,1,,,0
2021,경기도,용인시,,,,,,,,,1,,,0
2022,경기도,용인시,,,,,,,,,1,,,0
2023,경기도,용인시,,,,,,,,,1,,,0
2016,경기도,의왕시,,,,,,,,,1,,,0
2017,경기도,의왕시,,,,,,,,,1,,,0
2018,경기도,의왕시,,,,,,,,,1,,,0
2019,경기도,의왕시,,,,,,,,,1,,,0
2020,경기도,의왕시,,,,,,,,,1,,,0
2021,경기도,의왕시,,,,,,,,,1,,,0
2022,경기도,의왕시,,,,,,,,,1,,,0
2023,경기도,의왕시,,,,,,,,,1,,,0
2016,경기도,의정부시,,,,,,,,,1,,,0
2017,경기도,의정부시,,,,,,,,,1,,,0
2018,경기도,의정부시,,,,,,,,,1,,,0
2019,경기도,의정부시,,,,,,,,,1,,,0
2020,경기도,의정부시,,,,,,,,,1,,,0
2021,경기도,의정부시,,,,,,,,,1,,,0
2022,경기도,의정부시,,,,,,,,,1,,,0
2023,경기도,의정부시,,,,,,,,,1,,,0
2016,경기도,이천시,,,,,,,,,1,,,0
2017,경기도,이천시,,,,,,,,,1,,,0
2018,경기도,이천시,,,,,,,,,1,,,0
2019,경기도,이천시,,,,,,,,,1,,,0
2020,경기도,이천시,,,,,,,,,1,,,0
2021,경기도,이천시,,,,,,,,,1,,,0
2022,경기도,이천시,,,,,,,,,1,,,0
2023,경기도,이천시,,,,,,,,,1,,,0
