연도,시도,시군구,sigungu_cd,stnId,거리_km,겨울철_평균최저기온,여름철_평균기온,연강수량_mm,평균풍속_ms,GDD_솔수염하늘소_base11.9,GDD_북방수염하늘소_base8.3,SPI3_최저월(최심가뭄),SPI3_유효월수,연간관측일수,겨울철_자료완전성
2019,강원특별자치도,정선군,51770,217,5.84,-7.24,22.44,798.9,1.67,1615.0,2337.4,-2.21,12.0,365,True
2020,강원특별자치도,정선군,51770,217,5.84,-4.79,22.88,1305.4,1.81,1515.8,2221.0,-1.8,12.0,366,True
2021,강원특별자치도,정선군,51770,217,5.84,-7.87,22.98,1112.1,1.67,1615.5,2369.4,-1.08,12.0,365,True
2022,강원특별자치도,정선군,51770,217,5.84,-8.23,23.44,1372.6,1.46,1654.8,2394.5,-1.59,12.0,365,True
2023,강원특별자치도,정선군,51770,217,5.84,-8.63,23.95,1399.7,1.39,1694.9,2451.1,-2.02,12.0,362,True
2016,강원특별자치도,철원군,51780,95,14.28,-9.03,23.84,1180.9,1.53,1719.0,2483.5,-1.46,11.0,366,True
2017,강원특별자치도,철원군,51780,95,14.28,-8.74,23.45,1233.4,1.49,1603.1,2336.0,-2.23,12.0,365,True
2018,강원특별자치도,철원군,51780,95,14.28,-11.87,24.49,1480.6,1.66,1632.1,2348.0,-1.08,12.0,365,True
2019,강원특별자치도,철원군,51780,95,14.28,-10.32,23.35,920.5,1.23,1635.4,2339.7,-2.01,12.0,365,True
2020,강원특별자치도,철원군,51780,95,14.28,-5.9,23.47,1749.3,1.3,1524.2,2202.1,-1.23,12.0,366,True
2021,강원특별자치도,철원군,51780,95,14.28,-9.79,23.64,1115.3,1.33,1642.4,2366.4,-1.86,12.0,365,True
2022,강원특별자치도,철원군,51780,95,14.28,-10.32,23.5,1752.7,1.29,1580.5,2309.2,-1.16,12.0,365,True
2023,강원특별자치도,철원군,51780,95,14.28,-10.84,24.11,1467.2,1.25,1739.0,2504.4,-0.82,12.0,365,True
