연도,시도,시군구,log_피해밀도_본per_ha,log_인접시군_피해밀도_본per_ha,연속발생연수,집단발생여부,소나무류_면적비율(%),최근감염목과의_거리_km,데이터유형,인접시군_산정방식,임상도_기준판
2018,강원도,평창군,0.0,0.0002999550089979,0,0,15.8801,489.4,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,강원도,평창군,0.0,0.0005998200719676,0,0,15.8801,231.85,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,강원도,평창군,0.0,0.0013990209137073,0,0,15.8237,231.85,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,강원도,평창군,0.0,0.0005998200719676,0,0,15.8237,111.53,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,강원도,평창군,0.0,0.000899595242836,0,0,15.8237,230.0,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,강원도,평창군,0.0,0.0017983819413793,0,0,15.8237,231.85,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
2016,강원도,홍천군,0.0086623730786526,0.0533511754969945,1,1,19.6309,263.49,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,강원도,홍천군,0.0006997551142733,0.0046889894861315,2,0,19.6309,497.21,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,강원도,홍천군,0.0009995003330835,0.0027960873020012,3,1,19.6309,497.21,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,강원도,홍천군,0.001998002662673,0.0071742037480003,4,1,19.6309,263.49,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,강원도,홍천군,0.0064789660977091,0.02244618882983,5,1,19.3813,263.49,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,강원도,홍천군,0.0022973590486834,0.0190180058357618,6,1,19.3813,143.62,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,강원도,홍천군,0.0025966258472659,0.0209784063851917,7,0,19.3813,257.3,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,강원도,홍천군,0.0064789660977091,0.0405659617466616,8,1,19.3813,263.49,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
2016,강원도,화천군,0.0,0.0730645708570051,0,0,4.8636,317.28,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,강원도,화천군,0.0,0.016463726030665,0,0,4.8636,531.13,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,강원도,화천군,0.0,0.0139029051689914,0,0,4.8636,531.13,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,강원도,화천군,0.0,0.0149871298082483,0,0,4.8636,317.28,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,강원도,화천군,0.0,0.0421011760186353,0,0,7.0502,317.28,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,강원도,화천군,0.0,0.0176434351725952,0,0,7.0502,198.21,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,강원도,화천군,0.0,0.0200967016991224,0,0,7.0502,308.98,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,강원도,화천군,0.0,0.055623903747997,0,0,7.0502,317.28,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
